station_id,hora,ocupacion_historica_estacion_hora
1,8,0.1891891892
1,0,0.08333333333
5,14,0.24756335284
5,15,0.26510721247333335
5,16,0.30116959066666665
5,17,0.4083820663
5,18,0.39181286553333333
5,19,0.4288499025333334
5,20,0.3918128655
5,21,0.41403508773333336
5,22,0.41598440546666665
5,23,0.4964912280666667
5,5,0.4388888889
5,6,0.3222222222
5,7,0.36458333335
5,8,0.21180555555
5,9,0.26315789475
5,10,0.26315789475
5,11,0.34356725148
5,12,0.42251461988
5,13,0.36988304093
6,0,0.31221532091000004
6,8,0.16
9,14,0.08761528325000001
9,15,0.07246376812333334
9,16,0.07246376812333334
9,17,0.014492753623333333
9,18,0.10474308301333334
9,19,0.09025032939
9,20,0.1627140975
9,21,0.16271409749000001
9,22,0.10408432146666667
9,23,0.13372859026666667
9,5,0.15711462452
9,6,0.15711462452
9,7,0.1333992095
9,8,0.2233201581
9,9,0.181818181805
9,10,0.1590909091
9,11,0.159090909105
9,12,0.18181818184999998
9,13,0.17687747035
10,21,0.0
10,0,0.135964912275
10,8,0.3333333333
12,0,0.037037037035
12,6,0.148717948732
12,7,0.21396011398099998
12,8,0.049382716046666664
12,9,0.16476733143777778
12,10,0.162962962962
12,11,0.15827793606444446
12,12,0.097008547017
12,13,0.0744301994375
12,14,0.1187678062725
12,15,0.11930199429749999
12,16,0.07674501424249999
12,17,0.014423076925
12,18,0.0422008546975
12,19,0.11271367520125
12,20,0.04629629629625
12,22,0.04166666666375
12,23,0.0514601139575
12,5,0.1673789173975
12,21,0.05579297244333333
15,5,0.5217391304
16,13,0.05
17,6,0.63716153128
17,7,0.760410831
17,8,0.7586367880333333
17,10,0.41972963098000005
17,12,0.27565437658
17,13,0.232026143815
17,14,0.291666666675
17,15,0.20343137255
17,16,0.24591503267499998
17,17,0.2483660130525
17,18,0.27777777775
17,19,0.263888888865
17,20,0.292483660125
17,22,0.411764705875
17,23,0.397058823525
17,5,0.7737628384799999
17,9,0.46568627449999994
17,11,0.26342710997499996
17,21,0.19498910675333334
17,0,0.4523809524
18,8,0.03030303030333333
18,14,0.04901960784666667
18,15,0.13725490193333334
18,16,0.07843137254
18,17,0.10784313724
18,18,0.07843137254
18,19,0.04992784993
18,20,0.05772005773333334
18,21,0.047619047633333335
18,22,0.0101010101
18,23,0.010416666666666666
18,5,0.24668560605
18,6,0.23106060605
18,7,0.26041666664999996
18,9,0.029857397505
18,10,0.029411764705
18,11,0.0
18,12,0.118538324405
18,13,0.0588235294
18,0,0.0
19,0,0.2200292397625
19,6,0.14179566562100002
19,7,0.07554179566
19,8,0.09287925695
19,10,0.10495356036099998
19,12,0.262831097345
19,13,0.286764705875
19,14,0.22871517027625
19,15,0.18111455109
19,16,0.1834365325075
19,17,0.25967492259375
19,18,0.26702786379375
19,19,0.2391640867
19,20,0.2596749226
19,21,0.2023993808125
19,22,0.1064241486125
19,23,0.11222910216875
19,5,0.172987616075
19,9,0.0952012383875
19,11,0.2550309597575
20,9,0.1515151515
20,11,0.2424242424
20,0,0.17580492425
20,8,0.2727272727
22,13,0.22035573125
23,21,0.07142857143
24,21,0.10325268817199999
24,14,0.2271604938
24,15,0.2567891878433333
24,16,0.3232013623
24,17,0.15679802954666666
24,18,0.26285714283333333
24,19,0.36255952379999995
24,20,0.2927459081666666
24,22,0.11863799284333333
24,23,0.14050179212333333
24,5,0.104761904785
24,6,0.104761904785
24,7,0.22523041475
24,8,0.29910714285
24,9,0.39814814815
24,10,0.34629629630000003
24,11,0.220370370385
24,12,0.3111111111
24,13,0.44999999999999996
25,14,0.15085638999
25,15,0.25770123596
25,16,0.18260242173666666
25,17,0.2316017316
25,18,0.21579145492333338
25,19,0.2937762720466667
25,20,0.32138151703333334
25,21,0.2924901185666667
25,22,0.2641633728666667
25,23,0.14822134386666666
25,5,0.0909090909
25,6,0.112648221335
25,7,0.2005928854
25,8,0.2213438735
25,9,0.14822134385
25,10,0.0
25,11,0.21146245059000002
25,12,0.1561264822
25,13,0.20882740445
27,21,0.09523809524
27,8,0.0
27,0,0.8333333333
28,13,0.3333333333
28,9,0.5
28,11,0.6
28,21,0.0
29,14,0.050000000004999996
29,15,0.06685823754166666
29,16,0.03333333332833333
29,17,0.011111111111666667
29,18,0.055555555555
29,19,0.113026819915
29,20,0.03984674329666666
29,21,0.016858237548333332
29,22,0.005747126436666666
29,23,0.0
29,5,0.05425287356399999
29,6,0.0761494252875
29,7,0.0839080459675
29,8,0.0577956989225
29,9,0.0244623655925
29,10,0.03252688172
29,11,0.0083333333325
29,12,0.0083333333325
29,13,0.0
31,0,0.1666666667
31,8,0.2
33,13,0.0
34,14,0.0
34,15,0.019607843136666667
34,16,0.037151702786666664
34,17,0.05263157895
34,18,0.12475633526666667
34,19,0.09161793371666667
34,20,0.12865497075
34,21,0.14385964913
34,22,0.20175438596666664
34,23,0.2719298245333333
34,5,0.16081871343333332
34,6,0.16228070174999998
34,7,0.0789473684
34,8,0.2105263158
34,9,0.08040935672999999
34,10,0.05263157895
34,11,0.02777777778
34,12,0.10672514618
34,13,0.05263157895
34,0,0.22587719297499997
35,0,0.102910052908
35,8,0.15740740739999998
35,5,0.3225806452
36,5,0.10130718954
36,6,0.08104575162199999
36,7,0.14150326795999998
36,8,0.47222222223333327
36,10,0.4629385965
36,12,0.46557017542
36,13,0.422240497075
36,14,0.323008040925
36,15,0.25977704679
36,16,0.2422600619
36,17,0.25319809941500004
36,18,0.072916666665
36,19,0.072916666665
36,20,0.0719975490175
36,21,0.101388888884
36,22,0.08415032680250001
36,23,0.08415032680250001
36,9,0.50868055555
36,11,0.49460891812499996
36,0,0.0
37,21,0.1551724138
37,5,0.4666666667
38,0,0.4523809524
38,6,0.48488612836
38,7,0.29723320158800004
38,8,0.08827404480333334
38,9,0.08695652174
38,10,0.08695652173400001
38,11,0.150592885374
38,12,0.10434782609399999
38,13,0.0978260869675
38,14,0.0434782608675
38,15,0.0543478260925
38,16,0.108695652185
38,17,0.218873517775
38,18,0.3591897233125
38,19,0.22875494070500002
38,20,0.3982213438625
38,21,0.50158102766
38,22,0.6131422925000001
38,23,0.601284585
38,5,0.731884057975
39,9,0.05555555556
39,11,0.0
39,13,0.0
40,14,0.06523297492
40,15,0.04449388208999999
40,16,0.06594982077666667
40,17,0.033716475096666663
40,18,0.12222222222333333
40,19,0.06704980844
40,20,0.02260536398333333
40,21,0.08565072303
40,22,0.010752688173333332
40,23,0.022246941046666663
40,5,0.11271783461666667
40,6,0.11846496106499999
40,7,0.220800889875
40,8,0.16573971078333333
40,9,0.21523915459999998
40,10,0.24527252505
40,11,0.100111234725
40,12,0.017857142855
40,13,0.04892473118
40,0,0.04
41,21,0.3181818182
41,13,0.2272727273
42,13,0.21442495123333336
42,14,0.16179337232000002
42,15,0.16093337919000003
42,16,0.18151588119999998
42,17,0.05664488017
42,18,0.07625272330666666
42,19,0.13398692808666665
42,20,0.1917211329
42,21,0.22875816993333334
42,22,0.2505446623
42,23,0.15577342048666667
42,5,0.26694186445
42,6,0.14215686275
42,7,0.17156862745
42,8,0.02777777778
42,9,0.05555555555
42,10,0.1699346405
42,11,0.1388888889
42,12,0.1388888889
43,0,0.13157894735
43,6,0.17894736842
43,7,0.21052631577
43,8,0.15789473683333333
43,10,0.06315789474
43,12,0.10526315789
43,13,0.0789473684125
43,14,0.1052631579
43,15,0.1315789473625
43,16,0.0921052631625
