station_id,hora,dia_semana,historico_estacion_hora_dia
1,8,0,0.1891891892
1,0,5,0.08333333333
5,14,3,0.05555555556
5,15,3,0.05555555556
5,16,3,0.1666666667
5,17,3,0.1111111111
5,18,3,0.1666666667
5,19,3,0.2222222222
5,20,3,0.2222222222
5,21,3,0.0
5,22,3,0.1111111111
5,23,3,0.1666666667
5,5,4,0.2777777778
5,6,4,0.1111111111
5,7,4,0.1666666667
5,8,4,0.1111111111
5,9,4,0.0
5,10,4,0.0
5,11,4,0.05555555556
5,12,4,0.05555555556
5,13,4,0.05555555556
5,14,4,0.05555555556
5,15,4,0.05555555556
5,16,4,0.0
5,17,4,0.1666666667
5,18,4,0.1666666667
5,19,4,0.2222222222
5,20,4,0.1111111111
5,21,4,0.4
5,22,4,0.4
5,23,4,0.5333333333
5,5,5,0.6
5,6,5,0.5333333333
5,7,5,0.5625
5,8,5,0.3125
5,9,5,0.5263157895
5,10,5,0.5263157895
5,11,5,0.6315789474
5,12,5,0.7894736842
5,13,5,0.6842105263
5,14,5,0.6315789474
5,15,5,0.6842105263
5,16,5,0.7368421053
5,17,5,0.9473684211
5,18,5,0.8421052632
5,19,5,0.8421052632
5,20,5,0.8421052632
5,21,5,0.8421052632
5,22,5,0.7368421053
5,23,5,0.7894736842
6,0,0,0.08695652174
6,0,1,0.2
6,8,1,0.16
6,0,2,0.2
6,0,3,0.7619047619
9,14,3,0.0
9,15,3,0.04347826087
9,16,3,0.04347826087
9,17,3,0.04347826087
9,18,3,0.0
9,19,3,0.0
9,20,3,0.1304347826
9,21,3,0.2173913043
9,22,3,0.1304347826
9,23,3,0.1739130435
9,5,4,0.2272727273
9,6,4,0.2272727273
9,7,4,0.1363636364
9,8,4,0.2727272727
9,9,4,0.2727272727
9,10,4,0.3181818182
9,11,4,0.2272727273
9,12,4,0.2272727273
9,13,4,0.2173913043
9,14,4,0.2173913043
9,15,4,0.1739130435
9,16,4,0.1739130435
9,17,4,0.0
9,18,4,0.08695652174
9,19,4,0.04347826087
9,20,4,0.1304347826
9,21,4,0.04347826087
9,22,4,0.0
9,23,4,0.0
9,5,5,0.08695652174
9,6,5,0.08695652174
9,7,5,0.1304347826
9,8,5,0.1739130435
